
IN256OUT64,IN256OUT64,,,BATCH
0.004571,0.229398,4096,128,18
0.005077,0.206535,4096,128,20
0.007582,0.138298,4096,128,30
0.01011,0.103717,4096,128,40
0.012608,0.0831675,4096,128,50
0.015129,0.069309,4096,128,60
IN4096OUT256,IN4096OUT256,,,BATCH
0.000223,9.40427,4096,256,1
0.000539,3.89082,4096,256,2
0.000985,2.12909,4096,256,4
0.001559,1.34519,4096,256,6
0.001995,1.0512,4096,256,8
0.002569,0.81633,4096,256,10
0.00307,0.683111,4096,256,12
0.00357,0.587438,4096,256,14
0.004078,0.51426,4096,256,16
0.004585,0.457394,4096,256,18
0.005082,0.412663,4096,256,20
0.007612,0.275506,4096,256,30
0.010141,0.206799,4096,256,40
0.012661,0.165639,4096,256,50
0.015178,0.138171,4096,256,60
IN4096OUT512,IN4096OUT512,,,BATCH
0.000286,14.6654,4096,512,1
0.000538,7.7961,4096,512,2
0.001048,4.0022,4096,512,4
0.00156,2.68866,4096,512,6
0.002066,2.03016,4096,512,8
0.002579,1.62633,4096,512,10
0.00309,1.35738,4096,512,12
0.003593,1.16735,4096,512,14
0.004118,1.01853,4096,512,16
0.004615,0.908842,4096,512,18
0.005114,0.820161,4096,512,20
0.007655,0.547917,4096,512,30
0.010191,0.411569,4096,512,40
0.01273,0.329482,4096,512,50
0.015247,0.27509,4096,512,60
IN4096OUT1024,IN4096OUT1024,,,BATCH
0.000284,29.5374,4096,1024,1
0.00054,15.5345,4096,1024,2
0.001064,7.88403,4096,1024,4
0.001564,5.36356,4096,1024,6
0.002073,4.0466,4096,1024,8
0.002583,3.24762,4096,1024,10
0.003098,2.70775,4096,1024,12
0.003621,2.31666,4096,1024,14
0.00411,2.04102,4096,1024,16
0.004628,1.81258,4096,1024,18
0.005191,1.61599,4096,1024,20
0.007681,1.09212,4096,1024,30
0.010221,0.820723,4096,1024,40
0.01276,0.657414,4096,1024,50
0.015302,0.548203,4096,1024,60
IN4096OUT2048,IN4096OUT2048,,,BATCH
0.000291,57.6537,4096,2048,1
0.000547,30.6713,4096,2048,2
0.001063,15.7829,4096,2048,4
0.001579,10.6252,4096,2048,6
0.002095,8.00822,4096,2048,8
0.002618,6.40841,4096,2048,10
0.003133,5.355,4096,2048,12
0.003634,4.61674,4096,2048,14
0.004145,4.04758,4096,2048,16
0.004654,3.6049,4096,2048,18
0.005172,3.24385,4096,2048,20
0.007779,2.15673,4096,2048,30
0.010297,1.62933,4096,2048,40
0.012916,1.29895,4096,2048,50
0.015438,1.08675,4096,2048,60
IN4096OUT4096,IN4096OUT4096,,,BATCH
0.000347,96.6987,4096,4096,1
0.000661,50.7631,4096,4096,2
0.001272,26.3793,4096,4096,4
0.001903,17.6324,4096,4096,6
0.002516,13.3364,4096,4096,8
0.003128,10.7271,4096,4096,10
0.00375,8.94785,4096,4096,12
0.004378,7.66433,4096,4096,14
0.004978,6.74054,4096,4096,16
0.005637,5.95253,4096,4096,18
0.006234,5.38249,4096,4096,20
0.009311,3.60374,4096,4096,30
0.0124,2.706,4096,4096,40
0.01554,2.15923,4096,4096,50
0.018551,1.80877,4096,4096,60
IN12544OUT64,IN12544OUT64,,,BATCH
0.000606,2.64956,12544,64,1
0.001375,1.16773,12544,64,2
0.003092,0.519286,12544,64,4
0.004613,0.348067,12544,64,6
0.006152,0.260994,12544,64,8
0.007677,0.209148,12544,64,10
0.009229,0.173977,12544,64,12
0.010722,0.149751,12544,64,14
0.012253,0.13104,12544,64,16
0.013774,0.11657,12544,64,18
0.015304,0.104916,12544,64,20
0.022942,0.0699866,12544,64,30
0.030567,0.0525283,12544,64,40
0.038425,0.0417861,12544,64,50
0.045841,0.0350261,12544,64,60
IN12544OUT128,IN12544OUT128,,,BATCH
0.000796,4.03425,12544,128,1
0.001569,2.04669,12544,128,2
0.003125,1.0276,12544,128,4
0.00462,0.695079,12544,128,6
0.006154,0.521817,12544,128,8
0.007702,0.416939,12544,128,10
0.009211,0.348634,12544,128,12
0.010745,0.298861,12544,128,14
0.012276,0.261589,12544,128,16
0.013811,0.232515,12544,128,18
0.01533,0.209476,12544,128,20
0.022975,0.139772,12544,128,30
0.030636,0.10482,12544,128,40
0.038283,0.0838822,12544,128,50
0.045941,0.0698997,12544,128,60
IN12544OUT256,IN12544OUT256,,,BATCH
0.000803,7.99817,12544,256,1
0.001569,4.09339,12544,256,2
0.003103,2.06978,12544,256,4
0.004629,1.38745,12544,256,6
0.00625,1.0276,12544,256,8
0.007707,0.833337,12544,256,10
0.009234,0.69553,12544,256,12
0.010783,0.595616,12544,256,14
0.012325,0.521098,12544,256,16
0.013833,0.46429,12544,256,18
0.015361,0.418106,12544,256,20
0.023019,0.27901,12544,256,30
0.030657,0.209496,12544,256,40
0.038298,0.167699,12544,256,50
0.045973,0.139702,12544,256,60
IN12544OUT512,IN12544OUT512,,,BATCH
0.000812,15.819,12544,512,1
0.001576,8.15042,12544,512,2
0.003159,4.06618,12544,512,4
0.004653,2.7606,12544,512,6
0.006229,2.06214,12544,512,8
0.007745,1.6585,12544,512,10
0.00929,1.38268,12544,512,12
0.010817,1.18749,12544,512,14
0.012405,1.03547,12544,512,16
0.013886,0.925036,12544,512,18
0.015406,0.83377,12544,512,20
0.023101,0.556039,12544,512,30
0.030794,0.417129,12544,512,40
0.038475,0.333855,12544,512,50
0.046151,0.278327,12544,512,60
IN12544OUT1024,IN12544OUT1024,,,BATCH
0.000821,31.2912,12544,1024,1
0.001613,15.9269,12544,1024,2
0.003184,8.0685,12544,1024,4
0.004763,5.39368,12544,1024,6
0.006336,4.05463,12544,1024,8
0.007867,3.26555,12544,1024,10
0.009442,2.72083,12544,1024,12
0.011016,2.33207,12544,1024,14
0.012567,2.04425,12544,1024,16
0.014156,1.81479,12544,1024,18
0.015734,1.63278,12544,1024,20
0.023548,1.09097,12544,1024,30
0.031384,0.818574,12544,1024,40
0.039182,0.655661,12544,1024,50
0.047001,0.546587,12544,1024,60
IN12544OUT2048,IN12544OUT2048,,,BATCH
0.000927,55.4263,12544,2048,1
0.001728,29.7339,12544,2048,2
0.003415,15.0455,12544,2048,4
0.005092,10.0904,12544,2048,6
0.006774,7.58492,12544,2048,8
0.008467,6.06829,12544,2048,10
0.010148,5.06309,12544,2048,12
0.01183,4.34321,12544,2048,14
0.013515,3.80172,12544,2048,16
0.015192,3.38206,12544,2048,18
0.016885,3.04295,12544,2048,20
0.025329,2.02851,12544,2048,30
0.033795,1.52035,12544,2048,40
0.042162,1.21864,12544,2048,50
0.050571,1.016,12544,2048,60
IN12544OUT4096,IN12544OUT4096,,,BATCH
0.001198,85.7767,12544,4096,1
0.00235,43.7279,12544,4096,2
0.004723,21.7575,12544,4096,4
0.00707,14.5347,12544,4096,6
0.009359,10.9799,12544,4096,8
0.011745,8.74929,12544,4096,10
0.014105,7.28539,12544,4096,12
0.016514,6.22263,12544,4096,14
0.018797,5.46685,12544,4096,16
0.021113,4.86716,12544,4096,18
0.023473,4.37781,12544,4096,20
0.035257,2.91461,12544,4096,30
0.046787,2.19635,12544,4096,40
,,12544,4096,50
,,12544,4096,60
