
IN256OUT64,IN256OUT64,,,BATCH
0.004234,9.90624,2048,1024,10
0.005078,9.91171,2048,1024,12
0.00591,9.93575,2048,1024,14
0.006754,9.93617,2048,1024,16
0.007631,9.89352,2048,1024,18
0.008432,9.94854,2048,1024,20
0.011102,11.3339,2048,1024,30
0.011685,14.3579,2048,1024,40
0.012723,16.4832,2048,1024,50
0.016631,15.1319,2048,1024,60
IN2048OUT2048,IN2048OUT2048,,,BATCH
0.000417,20.1166,2048,2048,1
0.001453,11.5466,2048,2048,2
0.00297,11.2978,2048,2048,4
0.004452,11.3054,2048,2048,6
0.005856,11.4598,2048,2048,8
0.007384,11.3605,2048,2048,10
0.007874,12.7843,2048,2048,12
0.008216,14.2941,2048,2048,14
0.008142,16.4846,2048,2048,16
0.010191,14.8165,2048,2048,18
0.008045,20.8542,2048,2048,20
0.018973,13.264,2048,2048,30
0.015772,21.2747,2048,2048,40
0.024286,17.2705,2048,2048,50
0.023688,21.2477,2048,2048,60
IN2048OUT4096,IN2048OUT4096,,,BATCH
0.0008,20.9715,2048,4096,1
0.001593,21.0637,2048,4096,2
0.005878,11.417,2048,4096,4
0.007886,12.7648,2048,4096,6
0.008399,15.9802,2048,4096,8
0.008581,19.5516,2048,4096,10
0.012218,16.4779,2048,4096,12
0.010619,22.1189,2048,4096,14
0.013155,20.4056,2048,4096,16
0.013632,22.153,2048,4096,18
0.015131,22.176,2048,4096,20
0.035313,14.253,2048,4096,30
0.030199,22.2222,2048,4096,40
0.037718,22.2403,2048,4096,50
0.045505,22.1214,2048,4096,60
IN4096OUT64,IN4096OUT64,,,BATCH
0.000231,2.26964,4096,64,1
0.000504,2.08051,4096,64,2
0.002265,0.925895,4096,64,4
0.003329,0.944947,4096,64,6
0.004511,0.929795,4096,64,8
0.005614,0.933894,4096,64,10
0.006732,0.93456,4096,64,12
0.007859,0.933965,4096,64,14
0.009004,0.931653,4096,64,16
0.0101,0.934375,4096,64,18
0.011232,0.933561,4096,64,20
0.016801,0.936173,4096,64,30
0.022397,0.936354,4096,64,40
0.028033,0.935126,4096,64,50
0.033551,0.937596,4096,64,60
IN4096OUT128,IN4096OUT128,,,BATCH
0.000514,2.04003,4096,128,1
0.001151,1.82203,4096,128,2
0.002217,1.89188,4096,128,4
0.003415,1.8423,4096,128,6
0.004559,1.84001,4096,128,8
0.005687,1.84381,4096,128,10
0.006837,1.84041,4096,128,12
0.007988,1.83776,4096,128,14
0.009092,1.84527,4096,128,16
0.010248,1.84176,4096,128,18
0.011376,1.84349,4096,128,20
0.017014,1.84891,4096,128,30
