
IN256OUT64,IN256OUT64,,,BATCH
IN4096OUT128,IN4096OUT128,,,BATCH
0.000407,2.57635,4096,128,1
0.000509,4.12014,4096,128,2
0.000519,8.08151,4096,128,4
0.000794,7.92375,4096,128,6
0.00082,10.23,4096,128,8
0.000928,11.2993,4096,128,10
0.000983,12.8005,4096,128,12
0.001123,13.0722,4096,128,14
0.001162,14.4382,4096,128,16
0.001539,12.264,4096,128,18
0.001563,13.4175,4096,128,20
0.002245,14.0122,4096,128,30
0.003113,13.4735,4096,128,40
0.003822,13.7176,4096,128,50
0.004455,14.1222,4096,128,60
IN4096OUT256,IN4096OUT256,,,BATCH
0.00051,4.11206,4096,256,1
0.000519,8.08151,4096,256,2
0.00082,10.23,4096,256,4
0.000985,12.7745,4096,256,6
0.001153,14.5509,4096,256,8
0.001566,13.3918,4096,256,10
0.001946,12.9321,4096,256,12
0.002098,13.9943,4096,256,14
0.002296,14.6143,4096,256,16
0.002708,13.9397,4096,256,18
0.003099,13.5344,4096,256,20
0.004497,13.9903,4096,256,30
0.009264,9.05506,4096,256,40
0.017715,5.91914,4096,256,50
0.023761,5.29562,4096,256,60
IN4096OUT512,IN4096OUT512,,,BATCH
0.000348,12.0526,4096,512,1
0.000541,15.5057,4096,512,2
0.000827,20.2868,4096,512,4
0.001981,12.7036,4096,512,6
0.002299,14.5952,4096,512,8
0.003094,13.5563,4096,512,10
0.003477,14.4756,4096,512,12
0.004258,13.7906,4096,512,14
0.004977,13.4838,4096,512,16
0.007477,10.0973,4096,512,18
0.009591,8.74633,4096,512,20
0.022569,5.57531,4096,512,30
0.030444,5.51084,4096,512,40
0.031483,6.66122,4096,512,50
0.041817,6.01808,4096,512,60
IN4096OUT1024,IN4096OUT1024,,,BATCH
0.000846,9.91561,4096,1024,1
0.001202,13.9578,4096,1024,2
0.002301,14.5825,4096,1024,4
0.003509,14.3436,4096,1024,6
0.004773,14.0601,4096,1024,8
0.015262,5.4964,4096,1024,10
0.017802,5.65461,4096,1024,12
0.020905,5.61782,4096,1024,14
0.023739,5.65389,4096,1024,16
0.029599,5.10135,4096,1024,18
0.027719,6.05261,4096,1024,20
0.039542,6.36433,4096,1024,30
0.056449,5.9442,4096,1024,40
0.079212,5.29504,4096,1024,50
0.0957,5.25932,4096,1024,60
IN4096OUT2048,IN4096OUT2048,,,BATCH
0.000733,22.8884,4096,2048,1
0.001475,22.7488,4096,2048,2
0.0052,12.9056,4096,2048,4
0.016701,6.02738,4096,2048,6
0.024934,5.38292,4096,2048,8
0.028298,5.92876,4096,2048,10
0.030184,6.66998,4096,2048,12
0.038498,6.10112,4096,2048,14
0.047056,5.7046,4096,2048,16
0.050776,5.94749,4096,2048,18
0.061488,5.45707,4096,2048,20
0.087489,5.75291,4096,2048,30
0.130726,5.13355,4096,2048,40
0.144902,5.78916,4096,2048,50
0.177818,5.66103,4096,2048,60
IN4096OUT4096,IN4096OUT4096,,,BATCH
0.001462,22.951,4096,4096,1
0.003097,21.669,4096,4096,2
0.025247,5.31618,4096,4096,4
0.030212,6.6638,4096,4096,6
0.043842,6.12279,4096,4096,8
0.058359,5.74966,4096,4096,10
0.074973,5.37064,4096,4096,12
0.085864,5.471,4096,4096,14
0.102284,5.24883,4096,4096,16
0.111635,5.41031,4096,4096,18
0.123022,5.45503,4096,4096,20
0.168004,5.99172,4096,4096,30
0.190174,7.05763,4096,4096,40
0.18365,9.13543,4096,4096,50
0.282973,7.11469,4096,4096,60
IN12544OUT64,IN12544OUT64,,,BATCH
0.001485,1.08123,12544,64,1
0.001519,2.11406,12544,64,2
0.001537,4.17861,12544,64,4
0.001698,5.67361,12544,64,6
0.002069,6.20834,12544,64,8
0.00312,5.14626,12544,64,10
0.003383,5.69541,12544,64,12
0.004009,5.6071,12544,64,14
0.004979,5.15969,12544,64,16
0.0061,4.73793,12544,64,18
0.006381,5.03254,12544,64,20
0.009309,5.17445,12544,64,30
0.012407,5.17654,12544,64,40
0.014017,5.72745,12544,64,50
0.016271,5.92084,12544,64,60
IN12544OUT128,IN12544OUT128,,,BATCH
0.001237,2.59601,12544,128,1
0.001264,5.08111,12544,128,2
0.001579,8.13493,12544,128,4
0.00264,7.29833,12544,128,6
0.004979,5.15969,12544,128,8
0.006384,5.03018,12544,128,10
0.007539,5.11144,12544,128,12
0.008784,5.11813,12544,128,14
0.009767,5.26059,12544,128,16
0.011206,5.1582,12544,128,18
0.012407,5.17654,12544,128,20
0.014526,6.6321,12544,128,30
0.015954,8.05131,12544,128,40
0.019868,8.0815,12544,128,50
0.024969,7.7166,12544,128,60
IN12544OUT256,IN12544OUT256,,,BATCH
0.000853,7.52934,12544,256,1
0.001951,6.58383,12544,256,2
0.00496,5.17946,12544,256,4
0.007527,5.11959,12544,256,6
0.009742,5.27409,12544,256,8
0.0124,5.17946,12544,256,10
0.015027,5.12879,12544,256,12
0.014592,6.16196,12544,256,14
0.014314,7.17902,12544,256,16
0.014914,7.75148,12544,256,18
0.015814,8.12259,12544,256,20
0.024635,7.82122,12544,256,30
0.048812,5.26307,12544,256,40
0.043267,7.42197,12544,256,50
0.053541,7.19732,12544,256,60
IN12544OUT512,IN12544OUT512,,,BATCH
0.000985,13.0407,12544,512,1
0.004959,5.1805,12544,512,2
0.00976,5.26437,12544,512,4
0.015025,5.12947,12544,512,6
0.014301,7.18554,12544,512,8
0.020421,6.29012,12544,512,10
0.026049,5.91734,12544,512,12
0.025534,7.0428,12544,512,14
0.045838,4.48364,12544,512,16
0.038225,6.04869,12544,512,18
0.03475,7.39284,12544,512,20
0.053447,7.20998,12544,512,30
0.097658,5.26124,12544,512,40
0.099859,6.4316,12544,512,50
0.106398,7.24359,12544,512,60
IN12544OUT1024,IN12544OUT1024,,,BATCH
0.002333,11.0116,12544,1024,1
0.004602,11.1648,12544,1024,2
0.009168,11.2086,12544,1024,4
0.018493,8.33508,12544,1024,6
0.045899,4.47768,12544,1024,8
0.042221,6.08468,12544,1024,10
0.041974,7.34458,12544,1024,12
0.049098,7.32538,12544,1024,14
0.076556,5.36916,12544,1024,16
0.06879,6.72223,12544,1024,18
0.081531,6.30192,12544,1024,20
0.105955,7.27387,12544,1024,30
0.151462,6.78457,12544,1024,40
0.173836,7.38918,12544,1024,50
0.203513,7.574,12544,1024,60
IN12544OUT2048,IN12544OUT2048,,,BATCH
0.004597,11.1769,12544,2048,1
0.009167,11.2098,12544,2048,2
0.045876,4.47992,12544,2048,4
0.046095,6.68796,12544,2048,6
0.056339,7.29587,12544,2048,8
0.116598,4.40661,12544,2048,10
0.098288,6.27302,12544,2048,12
0.104303,6.89648,12544,2048,14
0.107646,7.63692,12544,2048,16
0.130571,7.08307,12544,2048,18
0.150774,6.81553,12544,2048,20
0.205347,7.50635,12544,2048,30
0.263765,7.79182,12544,2048,40
0.340722,7.5399,12544,2048,50
0.444209,6.94001,12544,2048,60
IN12544OUT4096,IN12544OUT4096,,,BATCH
0.009141,11.2417,12544,4096,1
0.027327,7.5208,12544,4096,2
0.085702,4.79618,12544,4096,4
0.099721,6.18288,12544,4096,6
0.139435,5.89582,12544,4096,8
0.151158,6.79821,12544,4096,10
0.165618,7.4456,12544,4096,12
0.305282,4.71252,12544,4096,14
0.211067,7.78979,12544,4096,16
0.246695,7.49787,12544,4096,18
0.262257,7.83662,12544,4096,20
0.39216,7.86111,12544,4096,30
,,12544,4096,40
,,12544,4096,50
,,12544,4096,60
