
IN256OUT64,IN256OUT64,,,BATCH
0.002341,14.3334,4096,1024,4
0.003466,14.5215,4096,1024,6
0.004579,14.6558,4096,1024,8
0.008172,10.2651,4096,1024,10
0.009342,10.7753,4096,1024,12
0.010581,11.0992,4096,1024,14
0.011716,11.4559,4096,1024,16
0.013962,10.8147,4096,1024,18
0.011501,14.5876,4096,1024,20
0.02235,11.2599,4096,1024,30
0.021038,15.9494,4096,1024,40
0.027492,15.2565,4096,1024,50
0.03864,13.0258,4096,1024,60
IN4096OUT2048,IN4096OUT2048,,,BATCH
0.001011,16.5947,4096,2048,1
0.001953,17.181,4096,2048,2
0.00462,14.5257,4096,2048,4
0.009466,10.6342,4096,2048,6
0.012247,10.9592,4096,2048,8
0.021426,7.83031,4096,2048,10
0.013696,14.6997,4096,2048,12
0.022339,10.5144,4096,2048,14
0.01715,15.6522,4096,2048,16
0.027168,11.1156,4096,2048,18
0.020478,16.3856,4096,2048,20
0.029611,16.9976,4096,2048,30
0.041426,16.1997,4096,2048,40
0.05125,16.368,4096,2048,50
0.123676,8.13927,4096,2048,60
IN4096OUT4096,IN4096OUT4096,,,BATCH
0.001515,22.1481,4096,4096,1
0.004963,13.5218,4096,4096,2
0.012663,10.5992,4096,4096,4
0.01519,13.2539,4096,4096,6
0.022452,11.956,4096,4096,8
0.043265,7.75556,4096,4096,10
0.027576,14.6016,4096,4096,12
0.065395,7.18345,4096,4096,14
0.058959,9.10583,4096,4096,16
0.077813,7.76194,4096,4096,18
0.083974,7.99162,4096,4096,20
0.062414,16.1283,4096,4096,30
0.09484,14.152,4096,4096,40
0.150139,11.1745,4096,4096,50
0.164603,12.231,4096,4096,60
IN12544OUT64,IN12544OUT64,,,BATCH
0.001718,0.934594,12544,64,1
0.001745,1.84027,12544,64,2
0.001769,3.6306,12544,64,4
0.001854,5.19622,12544,64,6
0.001948,6.59397,12544,64,8
0.002655,6.04758,12544,64,10
0.003349,5.75323,12544,64,12
0.003738,6.0136,12544,64,14
0.004528,5.67361,12544,64,16
0.005785,4.99592,12544,64,18
0.006011,5.34231,12544,64,20
